inventory_id,product_id,location_id,quantity_on_hand,min_stock,max_stock,last_updated,last_received_date,last_received_qty
INV001,P001,L001,45,10,100,2025-03-15,2025-03-01,50
INV002,P002,L001,22,8,60,2025-03-14,2025-02-15,25
INV003,P003,L002,78,15,150,2025-03-15,2025-03-05,80
INV004,P004,L002,130,20,200,2025-03-15,2025-03-10,100
INV005,P005,L003,18,12,80,2025-03-13,2025-02-20,20
INV006,P006,L003,65,25,200,2025-03-15,2025-03-08,100
INV007,P007,L004,28,10,80,2025-03-14,2025-03-01,30
INV008,P008,L004,90,20,150,2025-03-15,2025-03-12,100
INV009,P009,L006,120,30,300,2025-03-15,2025-03-10,150
INV010,P010,L006,340,100,800,2025-03-15,2025-03-10,500
INV011,P011,L007,180,50,400,2025-03-14,2025-03-05,200
INV012,P012,L007,12,5,40,2025-03-12,2025-02-10,15
INV013,P013,L008,7,3,20,2025-03-10,2025-02-25,10
INV014,P014,L008,65,20,150,2025-03-15,2025-03-12,80
INV015,P015,L009,95,40,200,2025-03-15,2025-03-08,100
INV016,P016,L011,48,20,120,2025-03-15,2025-03-05,50
INV017,P017,L011,35,15,80,2025-03-14,2025-02-28,40
INV018,P018,L012,88,25,200,2025-03-15,2025-03-10,100
INV019,P019,L012,72,30,180,2025-03-15,2025-03-10,80
INV020,P020,L013,125,40,300,2025-03-15,2025-03-12,150
INV021,P021,L001,55,20,150,2025-03-15,2025-03-08,60
INV022,P022,L002,180,30,400,2025-03-15,2025-03-12,200
INV023,P023,L001,32,10,80,2025-03-14,2025-03-01,35
INV024,P024,L002,75,15,200,2025-03-15,2025-03-10,80
INV025,P025,L003,48,12,120,2025-03-15,2025-03-08,50
INV026,P026,L020,6,3,20,2025-03-10,2025-02-15,8
INV027,P027,L006,42,20,120,2025-03-15,2025-03-08,50
INV028,P028,L007,220,60,500,2025-03-15,2025-03-10,250
INV029,P029,L007,85,40,200,2025-03-14,2025-03-05,100
INV030,P030,L006,28,10,80,2025-03-13,2025-02-20,30
INV031,P031,L011,65,25,180,2025-03-15,2025-03-10,70
INV032,P032,L012,45,20,120,2025-03-14,2025-03-05,50
INV033,P033,L012,110,40,300,2025-03-15,2025-03-12,120
INV034,P034,L013,88,30,200,2025-03-15,2025-03-10,100
INV035,P035,L013,15,8,40,2025-03-12,2025-02-28,20
INV036,P036,L020,4,2,15,2025-03-10,2025-02-20,5
INV037,P037,L019,18,8,50,2025-03-14,2025-03-01,20
INV038,P038,L019,52,15,120,2025-03-15,2025-03-08,60
INV039,P039,L020,25,10,60,2025-03-14,2025-02-25,30
INV040,P040,L020,12,6,35,2025-03-12,2025-02-28,15
